acc_x,acc_y,acc_z,eda,bvp,hr,temp,pain_level
-0.0302,-0.0501,0.0081,1.26,70.6,56.7,34.0,2
-0.855,-2.2986,-0.2874,1.781,76.0,120.2,33.91,8
-0.0222,0.1289,-0.3794,1.377,76.8,74.9,33.53,5
0.0005,-0.0001,0.0446,0.206,70.9,55.7,34.21,1
-0.0548,-0.0115,-0.1352,0.051,67.9,56.5,33.66,1
-0.336,-0.4741,0.171,2.053,75.7,96.3,33.45,7
-0.118,0.025,0.0427,0.435,80.5,55.8,33.54,1
-0.0681,0.0453,0.0379,2.166,66.2,50.7,34.11,5
0.0262,-0.0245,-0.0136,1.375,61.2,55.9,34.06,3
0.2083,-0.5299,0.4183,0.341,71.1,78.6,33.46,1
-0.0503,-0.2354,0.0259,0.823,76.9,73.6,33.58,2
0.0131,-0.1127,0.0538,0.634,70.2,53.1,34.1,1
-0.064,0.2105,-0.2492,1.333,64.7,76.4,34.04,5
0.1181,-0.0323,-0.005,0.465,66.1,58.1,34.26,1
0.6192,-0.3,0.5869,1.657,76.2,102.0,33.4,7
1.2322,0.0103,-0.4282,2.262,78.7,103.3,33.29,8
0.5907,-0.0717,-0.1385,0.267,79.0,80.0,33.3,1
0.0025,-0.0813,-0.0574,0.117,74.1,54.3,33.59,1
-0.0079,0.0096,-0.0639,0.502,69.0,52.3,33.97,1
-1.1739,0.6171,-1.0247,1.537,71.1,93.4,33.48,6
-0.0182,0.0109,0.0719,0.789,71.9,58.0,33.92,1
-0.123,0.7983,1.2916,1.896,78.1,96.4,33.84,7
1.0358,-1.5128,-0.2656,1.818,69.9,87.9,33.87,6
-0.0141,0.0164,-0.082,1.052,71.0,56.1,33.9,2
-0.1267,-0.3311,-0.0753,0.874,68.7,76.8,33.71,3
0.3008,-0.1055,0.0159,1.027,77.9,83.5,33.53,5
-0.0414,-0.0423,0.0231,1.341,70.6,55.3,34.09,3
-0.0405,-0.0621,0.0515,0.972,68.6,59.0,33.51,2
-0.3614,-0.0443,-0.6182,0.643,70.6,71.6,34.31,2
0.025,-0.0429,0.0584,0.396,80.6,63.3,33.93,1
0.1405,-0.0037,0.021,2.397,80.9,71.6,33.73,7
0.3941,-0.4758,-0.3128,1.819,75.9,94.3,33.87,7
-0.0066,-0.0761,-0.0344,0.404,68.2,48.7,33.42,1
-0.0149,-0.0522,-0.0268,0.579,70.7,57.3,34.09,1
0.2265,-1.029,-0.2916,1.878,77.1,102.1,33.72,7
-0.5683,0.0295,-0.1802,0.221,66.4,74.2,33.41,1
0.0272,-0.0884,-0.0094,1.632,65.0,50.3,34.07,3
0.0123,0.0142,0.0458,0.377,66.2,49.5,34.09,1
0.3466,0.1794,-0.7501,1.752,72.0,74.0,34.07,6
-0.5448,0.3629,0.1623,0.597,70.3,79.5,33.48,3
-0.3378,-0.1737,-0.0732,2.002,71.6,71.2,33.9,6
-0.1146,-0.0499,0.017,0.077,75.4,52.5,33.76,1
-0.0372,-0.1122,-0.0353,0.227,72.3,60.4,33.18,1
0.0716,-0.0262,-0.3751,1.634,67.1,81.8,33.46,6
0.2041,-0.5529,0.07,1.558,71.9,72.9,33.85,5
-0.0053,0.0623,-0.0557,0.678,71.1,51.3,33.87,1
-0.1323,0.0134,-0.0274,1.355,69.8,60.2,33.76,3
0.7522,-0.1733,0.2996,1.744,73.8,84.2,33.52,6
0.088,-0.4713,0.013,1.488,65.9,78.5,33.47,5
-2.3901,-0.5266,1.0416,1.897,88.9,109.3,33.73,8
-1.6245,-1.3631,2.2589,2.224,85.4,119.1,33.99,8
1.1735,2.0458,1.3137,3.0,78.2,122.6,33.73,8
0.231,-0.07,0.2004,1.544,62.8,75.5,33.98,6
0.0704,0.0205,0.0215,0.422,69.7,51.1,34.63,1
-0.2975,-1.9763,0.4622,1.829,76.4,97.2,34.0,7
0.1723,-0.1707,-1.0943,2.38,85.2,84.9,33.93,7
-0.3673,-0.0572,-0.3741,1.575,73.5,67.5,33.95,5
0.2665,-0.5861,-0.0134,1.597,80.9,73.0,33.71,5
-0.5435,-0.0984,0.518,1.115,78.3,97.3,33.5,6
-0.4352,0.6223,0.1276,2.713,74.0,95.1,33.56,8
0.4281,0.1279,-1.5949,2.105,77.9,88.7,33.81,7
-1.3945,-0.7518,0.8468,2.843,85.1,122.7,33.01,8
-0.5009,-0.1332,-0.0086,1.297,77.7,96.3,33.6,6
0.3127,-0.3956,-0.7189,0.501,82.3,95.7,34.58,5
-0.3855,0.3354,0.0707,1.257,77.7,67.5,33.28,3
-0.2581,0.5313,0.0688,0.913,77.2,71.9,33.33,2
0.0576,0.0287,-0.0271,0.575,70.0,58.6,34.17,1
0.094,0.3203,0.4285,1.701,79.6,95.8,33.9,7
-0.1777,-0.2192,-0.2445,2.215,80.0,77.3,33.73,7
0.1242,0.0583,-0.0229,0.139,72.7,59.1,34.07,1
-0.1981,-0.2202,-0.1851,2.1,81.6,70.4,33.89,6
-0.4091,1.1473,0.8917,1.837,75.2,102.7,33.4,7
-0.2279,0.2204,0.0764,1.304,75.9,72.9,34.38,5
0.0315,-0.2827,0.1283,0.235,72.2,79.9,34.15,3
0.0349,-0.0817,0.0572,0.142,66.9,51.5,33.78,1
0.3382,0.1322,0.2205,2.097,85.7,101.2,34.02,8
-0.3521,0.2483,0.2319,0.194,62.6,70.5,33.89,1
-0.0487,0.0921,-0.0308,1.327,68.4,61.4,34.07,3
0.1139,-0.0538,-0.0894,0.448,73.1,41.2,34.45,1
0.9641,-0.0468,-1.2728,1.357,80.1,96.4,33.84,6
0.3058,-0.0177,0.0163,2.529,74.1,75.5,33.3,7
-0.0154,0.0035,-0.0085,1.683,68.7,57.1,33.85,4
-0.0169,-0.0316,0.0298,1.281,60.0,45.5,34.19,1
-0.0945,0.022,-0.0477,0.139,80.7,56.9,33.97,1
-0.0439,-0.0112,0.0659,0.422,64.5,63.0,34.15,1
0.2191,0.1687,-0.1299,0.113,65.3,71.6,33.49,1
1.6323,1.1481,-1.8319,2.001,85.5,111.6,34.11,8
-0.2015,-0.147,0.2176,0.624,68.3,70.4,33.75,2
-0.0056,-0.5191,0.113,0.835,77.6,80.6,34.08,4
-1.0456,-1.4684,0.6607,0.523,85.3,92.4,33.62,4
0.0601,-0.0162,-0.027,1.903,79.7,62.2,33.7,6
0.0128,-0.0513,0.0242,0.81,77.9,51.0,34.31,1
0.015,-0.0431,-0.0179,2.543,73.4,53.2,33.8,6
0.0131,0.0891,0.0292,0.578,67.7,52.4,34.38,1
1.5697,-1.7568,0.175,2.253,77.6,117.5,33.5,8
-1.1564,0.9929,0.1822,2.354,84.2,101.7,34.24,8
0.0089,-0.0535,0.0167,0.686,79.0,54.9,34.22,1
-0.2837,1.1305,-0.4771,0.134,72.2,93.6,33.8,2
-0.2532,0.2635,0.1868,0.047,74.6,69.3,33.76,1
-0.0506,-0.0287,0.0146,0.893,73.0,56.7,33.96,2
-0.1359,-0.2584,-0.9441,2.2,76.6,63.8,33.68,6
0.0495,0.0424,0.0526,0.313,64.0,45.3,34.36,1
0.0018,0.0974,-0.0114,1.028,64.1,57.2,33.79,2
0.1029,-0.5504,0.3635,1.923,76.0,92.7,33.58,7
0.2371,0.3448,-0.2157,0.25,68.0,73.4,34.03,1
0.0414,0.1775,0.7304,1.345,76.9,65.8,33.54,3
1.4631,1.21,2.783,2.481,83.8,112.1,33.31,8
-1.2036,-0.8815,-0.5307,1.525,75.7,102.8,34.04,7
-0.0392,0.0373,0.0393,0.979,69.0,57.0,33.52,1
1.533,-2.6386,2.1937,1.531,79.1,114.2,34.2,7
0.0091,-0.0363,0.0066,0.624,64.0,52.2,34.46,1
0.0091,0.2526,0.0314,1.215,75.3,94.1,33.83,6
-0.0311,-0.1132,0.0145,1.52,73.4,54.4,34.48,4
-0.0629,0.0689,-0.017,0.9,61.8,49.0,34.33,1
-0.022,0.0435,-0.101,1.033,70.3,57.6,34.48,2
0.0907,-0.8936,0.2141,2.095,77.4,99.1,33.56,8
0.008,0.04,-0.0154,0.677,69.2,55.2,34.22,1
-0.0591,-0.0431,0.0395,0.475,74.3,48.7,33.42,1
0.006,-0.0171,0.0238,0.745,71.9,56.9,33.83,1
1.2787,-0.8557,-0.5277,1.26,77.3,100.9,34.08,6
0.142,0.2593,-0.0501,1.369,72.9,72.8,33.37,4
0.0036,-0.0319,0.0102,0.342,76.2,54.0,33.91,1
-0.0637,-0.0281,0.1307,1.456,65.6,70.2,34.01,5
0.3218,-0.1936,-0.3067,1.624,70.8,89.0,32.92,6
-0.0403,0.0188,0.0379,0.656,67.9,59.0,33.82,1
-0.1018,-0.0581,-0.0056,1.64,69.9,57.9,34.5,4
-1.3505,0.0838,-0.5075,1.925,77.0,102.1,33.76,8
-0.0409,0.0498,0.0756,0.101,75.0,54.3,33.94,1
0.0368,-0.0296,0.0899,0.668,65.8,54.8,34.34,1
-0.1922,-1.1806,-0.5296,1.365,88.6,98.6,34.4,7
-0.2461,0.2029,0.3117,0.819,74.8,69.7,33.62,2
-0.4854,-0.4962,0.2856,1.541,70.4,72.9,33.91,5
0.0233,-0.0662,-0.0879,0.86,70.9,53.4,34.07,1
0.1822,-0.2982,-0.3345,0.843,71.1,73.5,33.97,3
0.0434,0.067,0.0757,1.465,64.3,43.9,34.45,2
2.1025,-1.6074,-1.1426,2.387,89.0,115.5,33.73,8
-0.0239,-0.0267,0.0267,0.18,75.7,56.0,34.75,1
-0.3466,0.762,-0.968,0.989,68.7,92.1,33.56,5
-0.074,-0.0186,0.1574,1.078,72.8,55.6,34.23,1
-0.2102,-0.8535,0.0622,1.888,79.4,88.3,33.79,7
1.0945,0.1561,0.3932,1.645,74.3,99.4,33.61,7
-0.1324,-0.2006,-0.5151,0.236,78.6,79.4,33.75,1
0.0229,0.0713,0.0114,1.047,73.5,57.1,34.27,3
0.0333,0.0325,0.0627,1.648,72.5,55.6,33.54,3
0.4118,-0.0804,-1.2452,1.601,85.7,96.4,34.03,7
-0.0367,-0.0284,0.0717,0.704,68.6,55.8,34.16,1
0.2032,0.1293,-0.3693,1.836,77.1,74.9,33.58,6
-0.094,0.0068,0.0323,1.154,74.5,47.5,34.1,1
0.3101,0.1705,-0.251,1.925,70.6,75.5,33.52,6
-0.0233,0.0352,0.2063,1.248,62.7,82.2,33.79,5
0.0047,0.014,0.0271,0.742,74.3,44.4,33.77,1
0.6462,-1.0142,0.2477,0.515,78.2,95.4,32.93,3
0.0432,-0.0631,0.0445,0.707,60.3,60.2,33.77,1
0.0613,0.0113,-0.0908,0.41,66.7,49.9,33.88,1
0.1921,-0.0939,-0.4229,1.325,64.9,85.6,34.45,6
0.0793,0.073,0.0566,0.666,65.9,51.7,34.58,1
-0.0907,0.0108,-0.0396,0.7,76.9,41.6,34.08,1
-0.5455,0.0872,-0.2845,0.765,71.2,75.0,34.32,3
0.373,1.2502,0.6372,2.35,68.8,92.0,33.36,8
-1.7018,-0.9079,0.528,0.81,81.6,117.9,33.81,7
-0.4051,0.2157,-0.0628,1.514,62.8,72.1,33.73,5
-0.0071,-0.0096,-0.0217,0.561,71.4,54.4,33.69,1
-0.7464,-0.4674,0.0796,1.642,85.2,99.1,33.66,7
-0.0026,0.0777,0.074,1.576,69.6,53.7,33.95,4
-0.0024,-0.0167,0.0297,1.37,75.6,54.2,33.76,3
-0.0959,-2.0407,-0.6857,2.443,88.9,116.4,33.37,8
-0.0796,-0.0524,0.0426,0.865,66.1,57.2,34.03,1
-0.0167,-0.0076,-0.0334,1.201,76.3,48.5,34.15,2
0.1086,-0.1056,0.1439,1.323,71.3,65.4,33.1,4
-0.0505,-0.0105,-0.0553,1.368,76.8,52.7,33.96,3
-0.0595,-0.0292,0.0285,0.059,60.9,53.3,34.38,1
-0.1802,-0.2445,-0.7385,2.231,87.8,92.3,33.95,8
0.0159,0.0171,0.0332,0.961,71.3,57.2,34.23,2
0.6769,-0.4313,-0.891,0.936,77.2,95.1,33.35,5
0.0205,0.0632,-0.0282,0.883,67.2,55.2,33.8,1
0.1312,-0.7195,-0.3436,0.105,72.8,71.4,33.91,1
-0.4507,0.4017,-0.2059,1.961,77.8,97.1,33.19,7
0.2739,0.1241,-0.5247,1.593,69.2,85.0,34.01,6
0.0305,0.006,-0.037,1.502,67.7,51.6,34.08,3
0.099,0.0584,-0.0283,1.321,63.6,52.9,33.98,2
-0.0418,0.1312,-0.2974,1.258,62.8,74.2,33.47,4
0.3539,-0.2675,-1.5335,1.409,68.8,94.5,33.57,6
-0.0347,0.053,0.0564,0.622,71.9,56.3,34.43,1
-1.9552,1.1255,0.839,2.848,87.2,114.4,33.59,8
0.1095,-0.2542,-0.2051,0.485,64.0,85.6,33.46,3
0.059,0.0159,0.0243,1.591,70.0,56.9,34.04,4
0.0551,0.0031,0.0473,0.984,75.4,52.4,33.93,1
-0.2494,-2.4001,0.1779,1.196,84.8,97.7,33.73,6
1.328,-1.3783,-0.9502,2.457,77.6,90.0,33.26,7
-0.8413,0.9646,0.3867,1.777,70.0,105.1,33.66,7
0.0743,-0.0552,0.0004,1.619,72.2,65.5,33.99,5
-0.0422,-0.0059,-0.0635,0.859,68.9,51.3,33.7,1
-0.0082,0.0834,0.003,0.53,69.0,54.2,33.65,1
-0.5897,0.046,-1.0069,0.818,82.5,119.7,33.56,7
0.0069,-0.0903,0.0092,0.431,63.8,58.3,33.64,1
-0.0648,0.0288,0.0536,0.718,76.1,58.2,34.25,1
0.5772,-0.9702,-0.7167,2.633,74.5,95.9,34.04,8
0.0569,0.0408,0.0162,0.226,69.2,59.3,34.13,1
-0.0333,0.0037,0.1017,0.265,75.5,56.2,34.26,1
-0.3335,-0.7167,-1.1908,1.461,83.5,121.5,33.67,8
-0.3077,-0.4912,-0.5551,1.083,77.6,80.4,32.8,3
0.0217,0.1047,0.0051,1.528,73.9,51.8,34.25,3
-0.0537,-0.3152,0.0272,0.703,74.7,75.0,34.16,3
-0.3478,-0.6311,0.6412,0.439,76.5,75.2,33.93,2
-0.0066,0.0867,0.0795,1.011,61.7,61.5,34.04,3
0.0248,0.0568,-0.047,1.638,66.0,49.8,34.54,3
-0.0089,-0.0839,0.0173,0.72,74.4,52.5,33.76,1
0.8831,-0.874,-1.1077,0.771,83.8,101.9,34.02,6
-0.0599,-0.1799,0.7461,0.361,79.5,71.2,33.38,1
0.0419,-0.0896,-0.0135,1.155,68.0,54.5,33.88,1
0.1576,-0.0247,0.0416,1.918,70.9,76.8,33.52,6
-0.5191,0.3069,0.6434,2.892,77.7,111.9,34.03,8
-0.1049,0.0554,-0.2675,0.679,79.2,82.3,33.77,4
-0.0056,-0.0002,0.0339,1.447,71.8,53.3,33.66,3
0.1291,-0.2854,-0.3969,1.828,77.1,87.9,33.55,7
-0.0002,-0.037,-0.0041,0.158,74.9,48.8,33.44,1
0.0124,-0.0725,0.0888,1.572,71.9,53.0,33.77,3
-0.7467,-1.2016,-1.9148,2.906,80.0,116.3,33.59,8
0.5636,-0.4008,-0.0829,2.473,79.3,80.6,33.98,7
-0.0236,-0.0112,0.0107,0.184,76.1,54.1,34.82,1
0.0241,-0.0107,0.0216,0.04,72.7,57.7,33.74,1
0.2734,-0.0823,-0.1598,1.159,75.1,69.4,33.12,3
-0.1154,-0.0497,0.1269,2.001,72.6,72.3,33.75,6
-0.0421,0.0491,0.015,0.669,69.5,50.3,33.79,1
0.4147,1.6072,0.8999,2.489,73.8,118.0,34.18,8
1.3903,1.9077,-2.2875,2.608,79.9,111.0,33.69,8
0.659,0.0379,-0.0673,0.654,75.9,73.4,33.9,2
-1.6172,0.6514,0.5732,2.267,82.9,111.6,33.5,8
0.0358,-0.0282,0.0069,0.589,83.9,54.0,33.48,1
-0.1401,-0.0235,0.607,1.743,80.8,95.6,33.44,7
-0.2308,0.1167,0.2102,2.462,71.9,70.2,34.1,7
-0.7964,-1.4473,0.5999,1.488,84.9,95.2,33.96,6
-0.0479,0.0695,0.0298,1.331,62.9,59.1,34.24,3
0.0869,0.0798,-0.0405,0.573,69.5,42.4,33.44,1
-0.1741,0.0269,0.0432,0.544,68.9,77.2,33.74,3
-0.2265,0.2081,0.0272,1.402,72.9,76.6,33.87,5
0.7826,2.7632,-0.3355,2.43,77.7,112.8,33.39,8
0.0124,0.0096,-0.0326,0.574,77.3,42.4,33.92,1
-0.6264,-0.396,-0.5813,1.135,80.8,95.8,33.44,6
0.3671,0.384,-0.2303,2.227,74.2,100.7,33.6,8
-0.0054,0.0567,-0.009,0.529,67.9,58.6,33.93,1
0.3677,0.0415,-0.1053,2.736,75.0,97.5,33.44,8
0.1355,-0.1851,0.0241,0.271,78.1,73.0,34.21,2
-0.1355,0.115,0.7848,2.279,86.1,100.5,33.18,8
-0.0199,0.0268,-0.0201,0.821,68.1,55.3,33.85,1
-1.126,0.6921,-4.5721,2.563,74.4,124.0,33.96,8
-0.0836,-0.1219,-0.0252,1.104,78.2,52.7,33.82,1
-1.099,0.5312,-0.4785,2.062,66.1,103.3,33.92,8
0.1578,0.2395,0.2164,1.28,68.9,88.9,33.86,6
0.0519,0.2175,-0.1847,0.806,70.3,75.5,34.17,4
-0.0192,-0.0403,-0.007,1.23,64.1,61.1,34.33,3
-0.0168,-0.0309,-0.0128,0.405,69.9,47.6,33.81,1
0.067,0.8294,0.7165,0.273,70.1,102.0,33.51,4
0.2345,-0.4044,-0.3216,0.488,78.4,73.0,33.57,2
0.0371,0.0074,0.0276,0.477,76.5,50.4,33.56,1
0.1547,0.0834,0.1383,1.174,74.1,76.6,33.88,4
0.1693,-0.4884,-0.3846,0.451,74.4,78.3,33.59,1
-0.5109,0.7801,-0.2658,1.38,80.0,91.0,33.94,6
0.0574,-0.0097,0.4576,0.985,76.2,75.6,33.5,4
-0.1417,-0.0845,-0.902,1.21,75.6,93.4,33.64,6
-0.0885,-0.0379,0.0409,1.202,64.7,53.6,34.32,3
-0.0193,0.0037,0.1226,0.139,75.8,45.8,34.38,1
-1.5315,0.1737,-0.2764,2.152,78.0,125.0,33.48,8
-0.0522,0.0525,0.0551,0.821,66.9,54.7,34.17,2
-0.0416,-0.4979,-0.2547,1.985,67.5,87.6,33.33,7
0.0123,-0.0942,0.0475,1.164,70.7,64.0,33.78,3
0.0546,0.1004,-0.0537,1.886,71.1,50.5,33.78,4
-0.0249,-0.0634,-0.0427,0.511,65.2,56.1,33.96,1
-0.0565,0.2048,-0.6894,2.038,81.7,105.9,33.65,8
1.3415,1.4229,-0.7264,1.528,78.0,86.8,33.87,6
0.028,0.0056,-0.09,0.322,64.7,61.0,34.09,1
1.4354,0.3782,-0.2015,1.816,74.6,93.6,33.72,7
0.1063,-0.0469,0.025,1.057,76.1,49.2,34.5,1
0.0,-0.0361,0.0071,1.024,60.3,56.0,34.1,1
0.0264,0.2549,0.2567,1.058,77.3,79.9,33.29,4
-0.0021,0.0037,0.0423,0.352,76.0,52.0,33.29,1
-0.6887,2.9049,-0.3935,2.428,82.4,118.7,33.41,8
1.4326,1.321,1.2007,3.192,79.1,118.8,33.77,8
2.9884,-0.2735,1.5466,1.779,78.6,124.7,33.31,8
0.5333,-0.2227,-0.3782,1.619,72.9,116.3,33.18,8
0.1626,0.3747,0.2234,0.931,72.0,73.1,33.83,3
-0.3399,-0.4944,-0.7654,1.174,73.3,97.1,33.89,6
-0.0435,0.0267,-0.0378,0.105,72.0,55.0,33.73,1
-0.0163,0.0176,-0.062,0.544,76.9,56.5,33.73,1
0.103,0.0111,-0.0319,0.996,72.8,47.6,33.76,1
-0.0025,0.0537,0.0618,0.715,68.1,67.5,33.66,1
0.0693,0.0268,0.0205,1.301,72.1,62.5,34.3,4
-0.0056,0.2132,0.0731,0.6,81.7,76.0,33.61,2
0.228,0.4404,0.2659,0.492,67.4,77.6,34.29,3
0.0279,0.0013,-0.0101,0.17,72.6,54.0,33.71,1
0.2398,0.2449,-0.0075,0.589,68.2,65.7,33.88,1
-0.083,-0.3484,0.2379,0.863,78.9,80.9,33.79,3
0.0003,-0.1415,0.4388,0.282,67.9,76.7,34.1,2
0.0198,-0.0356,0.0745,1.402,77.4,95.3,33.1,6
-0.013,0.0989,0.0319,2.439,72.4,52.2,34.18,5
0.0679,0.3758,0.1655,1.278,70.0,74.0,33.43,4
-0.0252,0.02,0.0065,0.528,66.0,52.9,33.94,1
-0.0314,0.0366,-0.0074,0.392,64.6,59.6,34.06,1
0.0296,-0.0321,0.0942,0.776,70.8,45.3,33.75,1
-0.1348,-0.175,-0.3146,1.048,69.6,71.7,33.18,3
0.0226,-0.0242,-0.0154,0.16,77.6,59.6,33.44,1
0.0162,-0.1412,0.043,0.267,70.5,60.5,34.0,1
0.2445,-1.0447,1.7106,1.689,75.0,100.3,33.71,7
0.0278,0.4585,-0.6173,1.78,72.9,77.3,33.77,6
0.1755,1.4224,0.6522,2.962,76.0,111.6,33.78,8
0.0114,-0.0161,0.0471,0.72,74.0,48.4,33.57,1
-0.0367,-0.0291,-0.0376,1.247,76.8,50.7,34.56,3
0.0204,0.0099,0.0415,1.613,74.6,53.9,33.55,3
0.0545,-0.1479,-0.0349,2.993,65.8,92.2,34.01,8
-0.0175,0.0282,0.0218,1.979,73.9,57.5,33.43,5
2.5292,1.5064,-2.3249,2.03,74.7,117.8,33.39,8
-0.5232,-0.2047,0.0664,1.31,74.2,78.6,33.72,5
0.0104,0.0238,0.0589,0.475,77.8,53.1,33.83,1
-0.0419,0.0212,0.0025,1.292,68.2,52.9,33.9,2
-0.2402,0.0897,0.708,1.248,75.9,65.8,34.18,4
0.0791,-0.1387,-0.269,1.595,71.2,78.6,34.05,6
-0.1985,-0.2255,0.03,0.846,71.2,73.7,33.65,3
-0.0613,0.0061,0.0832,1.093,76.1,55.5,33.57,1
-0.6584,0.487,0.3331,1.336,77.4,93.5,33.67,6
0.0457,0.0778,-0.0605,0.234,66.6,46.9,34.38,1
-0.1018,0.1039,0.0477,0.368,71.3,75.8,33.54,1
-0.9308,1.2221,0.0881,0.651,77.2,95.0,33.64,4
-0.0984,0.0568,0.0307,2.106,76.0,82.3,33.81,7
-0.0692,-0.0283,-0.0431,1.884,78.8,56.0,34.31,5
-0.1459,-0.4423,0.3129,2.257,73.7,78.2,34.1,7
0.0321,0.0435,-0.0048,0.06,68.2,47.8,34.33,1
0.045,-0.016,0.0174,0.328,71.0,47.9,33.71,1
0.0497,0.0106,0.081,0.262,68.1,55.0,33.8,1
0.556,0.0292,0.3104,1.375,79.7,94.6,33.33,6
-0.0316,-0.038,0.0188,1.246,69.0,55.2,33.97,2
0.4388,0.0704,0.1591,2.057,73.7,75.4,33.01,6
-0.2299,-0.2497,-0.0273,1.715,72.2,84.1,33.6,6
0.0539,-0.0614,0.3169,1.178,72.3,73.4,33.79,4
0.0162,0.095,-0.072,0.509,58.4,53.8,33.46,1
-0.0953,-0.9263,1.5743,2.315,84.0,122.0,33.49,8
0.0053,-0.081,0.0571,2.248,69.6,60.0,33.56,6
-0.4325,-0.2182,-1.0476,0.647,79.1,80.7,33.6,3
-0.0005,0.0074,0.0195,0.414,61.8,58.8,34.39,1
0.2045,-0.2951,0.6994,1.145,69.6,97.8,34.01,7
0.0139,0.3093,0.0311,0.69,70.8,75.2,33.43,2
0.0276,-0.0638,0.0764,1.061,74.7,56.3,34.21,2
-0.424,-0.2127,-0.3507,0.401,73.0,69.1,34.01,1
-0.759,0.3488,0.036,1.645,73.1,99.9,33.5,7
0.5808,-0.1691,0.4939,1.6,73.7,68.9,33.93,5
0.0003,-0.1405,-0.0118,1.093,75.9,47.7,33.44,1
-0.0204,0.0392,-0.0367,0.667,68.5,63.3,34.73,2
0.0874,0.3208,0.3661,2.281,79.4,64.1,33.79,6
0.0457,0.038,0.1003,1.316,75.6,55.4,33.91,2
-1.1298,1.7304,0.0839,2.402,83.5,113.7,33.9,8
-0.0333,0.0557,-0.0146,0.359,68.8,58.4,34.73,1
1.9869,0.1275,0.1403,1.109,77.6,95.0,33.36,5
-2.5076,-2.0497,-0.245,2.464,78.3,114.6,33.88,8
2.9438,-1.0155,-1.2922,2.704,77.7,121.7,33.81,8
0.1586,0.2673,-0.255,0.711,75.2,79.0,33.94,2
-0.006,-0.0375,0.0594,0.264,72.7,62.2,34.56,1
0.1636,0.6496,-0.1917,1.951,84.0,87.9,34.13,7
0.0308,-0.0523,-0.0482,0.516,83.2,58.2,33.73,1
0.0639,-0.0529,-0.0318,0.859,71.4,55.1,33.73,1
-0.1433,2.0574,-1.2948,2.436,80.5,111.3,33.4,8
0.1239,-0.0121,0.0631,0.244,61.5,67.4,34.14,1
0.1868,-0.0164,-0.1651,2.316,77.8,82.0,33.63,7
0.084,-0.0565,0.072,0.615,58.8,53.3,33.73,1
-0.4375,0.0682,0.078,0.689,67.1,60.8,33.92,1
0.6819,-0.508,-0.5395,0.779,76.3,96.2,33.98,5
-0.0071,-0.0623,0.0252,0.564,71.3,54.0,34.04,1
1.1375,0.1389,0.8107,2.166,79.6,124.7,33.57,8
-0.1608,0.1693,-0.2234,1.263,76.4,75.3,33.65,5
0.0596,-0.3429,-0.2339,2.055,82.2,76.2,34.1,7
-0.3345,-0.0779,-0.1605,1.284,70.9,73.2,33.64,4
0.0052,-0.1125,0.0366,1.001,65.6,46.2,34.26,1
-0.0165,0.0269,0.0179,0.59,75.0,58.6,34.17,1
0.0257,0.0113,0.0168,0.027,65.7,59.7,33.96,1
-0.0324,-0.005,0.066,0.594,77.0,57.7,33.75,1
0.0192,0.0035,0.0519,0.941,77.9,52.4,33.66,1
-0.067,0.0338,-0.0091,1.435,68.8,49.9,33.81,2
0.2743,-0.7361,-0.1275,1.522,73.3,67.3,33.53,4
0.1152,1.2683,0.5524,2.487,86.1,88.3,33.83,7
-0.2093,0.2406,0.1144,0.452,76.9,73.4,33.32,1
-0.0907,0.0213,0.0962,1.323,69.4,58.3,34.12,3
-0.0423,0.0534,0.0082,0.826,70.8,56.0,34.48,2
4.7974,1.2009,1.1513,2.321,77.5,109.4,33.91,8
0.1334,-0.3254,0.5376,1.787,75.3,75.8,33.8,6
0.0499,0.3399,0.2775,1.875,67.9,72.6,33.04,5
-0.11,-0.0451,-0.0517,2.06,77.4,71.2,33.99,6
0.032,-0.0158,0.0196,0.34,73.3,49.1,34.11,1
0.0419,-0.0054,-0.0545,0.141,65.4,55.2,33.86,1
0.4527,-0.0498,0.1502,2.52,71.0,79.5,33.43,7
0.2533,0.2524,-0.1881,2.047,76.5,64.9,34.18,6
-0.6914,-0.2566,-0.1392,0.397,73.7,75.0,33.33,1
-0.2111,-0.1616,-0.0672,0.729,72.7,69.2,33.96,2
-0.0697,0.3176,0.0215,0.62,71.3,69.5,34.26,2
2.3038,-0.8556,0.6287,1.828,93.4,119.5,33.95,8
0.4478,-0.3032,0.0563,1.145,76.6,73.2,33.54,4
-0.0479,0.0552,0.0092,1.925,63.7,54.4,34.05,5
-0.4185,-0.0318,0.0004,0.741,77.1,64.4,33.56,1
2.543,-0.9851,0.3543,2.563,79.5,116.9,33.73,8
0.0282,0.0836,0.0348,0.933,77.8,51.2,33.65,1
-0.0126,-0.0807,-0.0386,0.06,69.6,56.1,34.43,1
-0.8881,1.0909,2.3834,0.13,87.2,109.2,33.82,4
0.0009,-0.101,0.0828,0.857,68.3,53.5,33.83,1
0.0524,0.1094,0.0588,0.42,68.1,53.7,34.32,1
-0.8202,-0.0264,0.3996,1.297,86.3,76.9,33.0,4
-1.7509,0.4992,-1.4243,1.06,75.0,94.5,33.4,5
-0.2761,0.3707,0.071,1.581,66.0,94.2,33.4,7
-0.0935,0.2507,0.3375,1.601,80.9,79.5,33.94,6
-0.2294,-0.0881,-0.4056,0.641,72.6,72.5,33.36,1
-0.0065,-0.0353,-0.0201,0.507,73.2,61.1,34.29,1
-0.5287,0.345,0.1792,0.78,70.7,76.7,33.73,3
